model,chips,fps
model_explorer_MoveNet.SinglePose.Thunder_3275884469dd477b7ae85170e49c44b6_Coral,2,182.5
model_explorer_onnx_models_GitHub_54,2,327.1
model_explorer_onnx_models_GitHub_93,2,327.1
model_explorer_onnx_models_GitHub_10,2,1460.7
model_explorer_imagenet_mobilenet_v3_large_100_224_feature_vector_53a3a715a5aa23e489fc4b242ba873b9_TFHub,2,197.5
model_explorer_openvinotoolkit_openvino_GitHub_20,2,1494.4
model_explorer_unet_mobilenet_v2_128_local_model,2,164.1
model_explorer_Semantic-Guided-Low-Light-Image-Enhancement_663666c92c77a498ea4aafe25dbeaad9_PINTO_8,2,3230.6
model_explorer_onnx_models_GitHub_125,2,327.1
model_explorer_emza-vs_ModelZoo_GitHub_1,2,1679.3
model_explorer_yuradanyliuk_AutomaticParking_GitHub_4,2,434782.6
model_explorer_yolov5n_leaky_416_local_model,2,399.9
model_explorer_onnx_models_GitHub_53,2,314.6
model_explorer_mzakharo_tubby_GitHub,2,1972386.6
model_explorer_ResNet18_b2464f4cf9b035822a1bdbf6c71cca75_OpenVINO,2,301.7
model_explorer_PP-LCNetV2_74a1019134f7a3775833d121b9486efd_PINTO_10,2,1382.2
model_explorer_edgetpu_vision_mobilenet-edgetpu-v2_tiny_6f8c5287d688a357bf94be4ad394ce4f_TFHub,2,1364
model_explorer_batu_ProjNar_GitHub_8,2,53685.5
