Model,FPS
model_explorer_LiteTrack_b19f7faeca97c37f3a569028f1f6ddc7_PINTO_2,2436.611
model_explorer_LiteTrack_b19f7faeca97c37f3a569028f1f6ddc7_PINTO_4,2341.321
model_explorer_logicthinkedu_CVJD_Demo_GitHub,131.8959
model_explorer_ltiao_zalando-classification_GitHub,2382.635
model_explorer_ltiao_zalando-classification_GitHub_1,2474.192
model_explorer_ltiao_zalando-classification_GitHub_2,2421.869
model_explorer_M-Borsuk_CNN-Pneumonia-Classification_GitHub,2362.458
model_explorer_M-LSD_068202de165844f96307a44e9e1910f8_PINTO,762.8745
model_explorer_M-LSD_068202de165844f96307a44e9e1910f8_PINTO_1,38.21937
model_explorer_magenta_arbitrary-image-stylization-v1-256_c15660b2ef37bf02c8b1a472d7e32e41_TFHub,1430.009
model_explorer_MagicTouch_47ddfca4a4070bc0f7538be7fc9309ed_PINTO_1,7
model_explorer_MagicTouch_47ddfca4a4070bc0f7538be7fc9309ed_PINTO_3,144.699
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub,2470.417
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub_1,2409.658
model_explorer_MAPLELEAF3659_snake-game-ml-agent_GitHub_2,2415.528
model_explorer_maxlegrec1_DetectionFdF_GitHub,226.1603
model_explorer_mbllen_lowlight_with_noise_local_model,5.556437947
model_explorer_MiesnerJacob_computer-vision-streamlit_GitHub,2416.945
model_explorer_ML-Chen_vaporwave-gan_GitHub,2457.25
model_explorer_ML-Chen_vaporwave-gan_GitHub_1,2364.763
model_explorer_mnasnet_1.0_128_d9d0f6ab19d6ee2aa6936237bde17502_TFHub,2369.618
model_explorer_mnasnet_1.0_160_f874e904c45b00b820ecb95ba4c8a962_TFHub,2380.725
model_explorer_mnasnet_1.0_192_71bfa7b63a1a08477991fb468762ea4a_TFHub,2296.927
model_explorer_mnasnet_1.0_224_9ef5c95f737ba707019d2d533e4e400a_TFHub,1564.564
model_explorer_mnasnet_1.0_96_b904282a9ac82d08187e1ddd4ba3ada7_TFHub,2440.484
model_explorer_mnasnet_1.3_224_d4c5d0f37ae34012f0d2e961e8249639_TFHub,1520.69
model_explorer_MobileNet_5fe9891458ef6e712804058a3fe75842_KerasApps,1568.859
model_explorer_mobilenet_v1_0.25_128_f8b395e8c5c1c18dcb10ff89c84267d5_TFHub,2365.013
model_explorer_mobilenet_v1_0.25_128_quantized_59d519440f9053ba58cb93b7b7fcdd55_TFHub,2472.663
model_explorer_mobilenet_v1_0.25_160_2506467930e73a4084629094c8a3debf_TFHub,2450.456
model_explorer_mobilenet_v1_0.25_160_quantized_7258db3c7f6c68d033c3e5849c5b0b22_TFHub,2449.077
model_explorer_mobilenet_v1_0.25_192_7e1ea4e3ac7ec5b71609e19dc9bb6771_TFHub,2319.32
model_explorer_mobilenet_v1_0.25_192_quantized_e90b0c4ed2199993b5be63199cf4e3d4_TFHub,2276.85
model_explorer_mobilenet_v1_0.25_224_8e4c2c9e504fd9581465bbb1a5f63efa_TFHub,1597.183
model_explorer_mobilenet_v1_0.25_224_quantized_0bed04f636ebc9197477cb0489beda89_TFHub,1595.913
model_explorer_mobilenet_v1_0.50_128_4e0afb47123ebb97af6940f48f138e48_TFHub,2460.955
model_explorer_mobilenet_v1_0.50_128_quantized_1179e66f6fa1792e08f280eee3cdc38f_TFHub,2469.766
model_explorer_mobilenet_v1_0.50_160_e65762dbcaac3732498d40868d2d9ec2_TFHub,2416.912
